,Power Request,Load Scaling Factor,Cost Result
0,8200.0,0.1,0.4400000000000002
1,8200.0,0.11,0.23000000000000007
2,8200.0,0.12,0.23000000000000007
3,8200.0,0.13,0.19000000000000003
4,8200.0,0.14,0.21000000000000005
5,8200.0,0.15,0.24000000000000007
6,8200.0,0.16,0.45000000000000023
7,8200.0,0.17,0.8700000000000006
8,8200.0,0.18,1.0500000000000007
9,8200.0,0.19,1.2100000000000009
10,8200.0,0.2,1.400000000000001
11,8400.0,0.1,0.4400000000000002
12,8400.0,0.11,0.3300000000000001
13,8400.0,0.12,0.3300000000000001
14,8400.0,0.13,0.21000000000000005
15,8400.0,0.14,0.21000000000000005
16,8400.0,0.15,0.19000000000000003
17,8400.0,0.16,0.23000000000000007
18,8400.0,0.17,0.8100000000000005
19,8400.0,0.18,1.0000000000000007
20,8400.0,0.19,1.1500000000000008
21,8400.0,0.2,1.270000000000001
22,8600.0,0.1,0.6000000000000003
23,8600.0,0.11,0.45000000000000023
24,8600.0,0.12,0.24000000000000007
25,8600.0,0.13,0.3000000000000001
26,8600.0,0.14,0.19000000000000003
27,8600.0,0.15,0.22000000000000006
28,8600.0,0.16,0.3100000000000001
29,8600.0,0.17,0.6100000000000003
30,8600.0,0.18,0.9800000000000006
31,8600.0,0.19,1.1100000000000008
32,8600.0,0.2,1.2400000000000009
33,8800.0,0.1,0.6000000000000003
34,8800.0,0.11,0.4200000000000002
35,8800.0,0.12,0.3200000000000001
36,8800.0,0.13,0.34000000000000014
37,8800.0,0.14,0.3000000000000001
38,8800.0,0.15,0.3100000000000001
39,8800.0,0.16,0.3000000000000001
40,8800.0,0.17,0.46000000000000024
41,8800.0,0.18,0.9000000000000006
42,8800.0,0.19,1.0800000000000007
43,8800.0,0.2,1.2000000000000008
44,9000.0,0.1,0.6600000000000004
45,9000.0,0.11,0.5100000000000002
46,9000.0,0.12,0.9700000000000006
47,9000.0,0.13,0.36000000000000015
48,9000.0,0.14,0.35000000000000014
49,9000.0,0.15,0.3000000000000001
50,9000.0,0.16,0.9700000000000006
51,9000.0,0.17,0.3100000000000001
52,9000.0,0.18,0.7700000000000005
53,9000.0,0.19,1.0000000000000007
54,9000.0,0.2,1.2000000000000008
55,9200.0,0.1,-1.0
56,9200.0,0.11,-1.0
57,9200.0,0.12,0.9900000000000007
58,9200.0,0.13,0.9700000000000006
59,9200.0,0.14,0.9700000000000006
60,9200.0,0.15,0.3300000000000001
61,9200.0,0.16,0.3100000000000001
62,9200.0,0.17,-1.0
63,9200.0,0.18,0.7200000000000004
64,9200.0,0.19,1.0000000000000007
65,9200.0,0.2,1.1200000000000008
66,9400.0,0.1,-1.0
67,9400.0,0.11,-1.0
68,9400.0,0.12,-1.0
69,9400.0,0.13,-1.0
70,9400.0,0.14,-1.0
71,9400.0,0.15,0.9700000000000006
72,9400.0,0.16,-1.0
73,9400.0,0.17,-1.0
74,9400.0,0.18,-1.0
75,9400.0,0.19,0.9100000000000006
76,9400.0,0.2,1.0900000000000007
77,9600.0,0.1,-1.0
78,9600.0,0.11,-1.0
79,9600.0,0.12,-1.0
80,9600.0,0.13,-1.0
81,9600.0,0.14,-1.0
82,9600.0,0.15,-1.0
83,9600.0,0.16,-1.0
84,9600.0,0.17,-1.0
85,9600.0,0.18,-1.0
86,9600.0,0.19,-1.0
87,9600.0,0.2,-1.0
88,10000.0,0.1,-1.0
89,10000.0,0.11,-1.0
90,10000.0,0.12,-1.0
91,10000.0,0.13,-1.0
92,10000.0,0.14,-1.0
93,10000.0,0.15,-1.0
94,10000.0,0.16,-1.0
95,10000.0,0.17,-1.0
96,10000.0,0.18,-1.0
97,10000.0,0.19,-1.0
98,10000.0,0.2,-1.0
