,iteration,Pi1,Pi2,Pi3,Pi4,Pi5,Pi6,Pi7,Pi8,Pi9,B1cs,B2cs,B3cs,B4cs,B5cs,B6cs,B7cs,B8cs,B9cs,Pf01,Pf12,Pf23,Pf14,Pf45,Pf56,Pf17,Pf78,Pf89,V1,V2,V3,V4,V5,V6,V7,V8,V9,Sell Price
0,0.0,-1000.0,1485.6822480652208,-999.9999999997805,-1000.0,3307.0745126453917,-1000.0,-1000.0,-1000.0,2207.2432392916035,0.7469135802469137,0.731569862666264,0.7469135802469122,0.7469135802469137,0.720326700539226,0.7469135802469137,0.7469135802469137,0.7469135802469137,0.7271157824735086,-934.6615858216,-471.08505876204026,1007.3187061285805,-1285.4147214803847,-2292.6373454399986,1007.2156449413927,-185.3728738030785,-1192.6718775765946,-2200.0073155405034,115.6346122627517,117.05179662991232,114.00000000000152,119.46193476665776,126.0,123.1704065453314,116.19433964190803,119.73301499220128,126.0,-1060.2863550386624
1,1.0,-1000.0,1477.750786663745,-999.9999999957622,-1000.0,3310.464231796471,-1000.0,-1000.0,-1000.0,2211.7849815564764,0.7530864197530865,0.722447944230068,0.753086419753059,0.7530864197530865,0.6998917361454207,0.7530864197530865,0.7530864197530865,0.7530864197530865,0.7134627887601971,-869.4538341532,-448.6675927765826,1014.5299857561622,-1266.937634721476,-2281.4856865931793,1014.5432956283922,-168.30110124025157,-1182.8063864991316,-2197.3158335763765,115.72425707294767,117.0733573022884,114.0,119.49460246969613,126.0,123.1495825939579,116.23215753806626,119.74088239403969,126.0,-1060.4449842663464
2,2.0,-1000.0,1469.8408119917933,-1000.0,-1000.0,3313.702537623604,-1000.0,-1000.0,-1000.0,2216.4566503846027,0.7592592592592594,0.7133748527980199,0.7592592592592319,0.7592592592592594,0.6794367822094726,0.7592592592592594,0.7592592592592594,0.7592592592592594,0.6997809575849835,-804.8201837455,-426.52370171689347,1021.6968120919,-1248.6955226023038,-2270.417081308404,1021.6735215796,-151.30450166360268,-1173.0500996784026,-2194.7580025687025,115.81287137992264,117.094781132484,114.0,119.52701804648235,126.0,123.12931630970051,116.26923207980272,119.74835864512677,126.0,-1060.603183760164
3,3.0,-999.9999999998186,1461.987193372204,-999.9999999847147,-999.9999999851647,3317.0470736548327,-1000.0,-1000.0,-999.999999997554,2220.965732953282,0.7654320987654311,0.7043502404932532,0.7654320987653104,0.7654320987653407,0.658961182989381,0.7654320987654323,0.7654320987654323,0.7654320987654172,0.6860712925667533,-740.1969666837999,-404.3182316557894,1028.8632587002146,-1230.4616472314624,-2259.279040001027,1028.8234568894056,-134.3274336574666,-1163.2686207621282,-2192.144632810282,115.9016027452857,117.11619990883017,114.0,119.55962810241608,125.9999999999554,123.1089906552977,116.30653774610542,119.7559967476357,125.99999999994814,-1060.7602561174913
4,4.0,-1000.0,1454.1341168294935,-1000.0,-1000.0,3320.263085540104,-1000.0,-1000.0,-1000.0,2225.6027976304026,0.7716049382716039,0.6953741039696144,0.7716049382714832,0.7716049382715136,0.6384657318440716,0.7716049382716051,0.7716049382716051,0.77160493827159,0.6723330036924916,-675.523544356,-382.0539766204935,1036.013091631,-1212.1142468521039,-2248.2123524231038,1036.0540393840001,-117.3800582474026,-1153.4634298794026,-2189.4831111484027,115.99039348371637,117.13756512810781,114.0,119.59202044159898,126.0,123.08843232583312,116.34404764009432,119.76377508327015,126.0,-1060.9173176634101
5,5.0,-1000.0,1446.3220009484933,-1000.0,-1000.0,3323.605348025104,-1000.0,-1000.0,-1000.0,2230.0726510264026,0.7777777777777768,0.6864461903835126,0.7777777777776561,0.7777777777776864,0.617949649448855,0.777777777777778,0.777777777777778,0.7777777777777629,0.6585671231306003,-610.705744804,-359.77617557149324,1043.263624228,-1193.806542075104,-2236.991723554104,1043.287283974,-100.39502566340285,-1143.5803464354028,-2186.822893530403,116.07946077605442,117.15922728048184,114.0,119.6248544137552,126.0,123.06786299118954,116.38177577277267,119.77154910298488,126.0,-1061.07355998103
6,6.0,-999.9999999999472,1438.5570635276413,-1000.0,-1000.0,3326.7950797625113,-1000.0,-1000.0,-1000.0,2234.647856715405,0.7839506172839493,0.6775662085098851,0.783950617283829,0.7839506172838593,0.5974138773515555,0.7839506172839509,0.7839506172839509,0.7839506172839359,0.644773000558283,-546.103301767,-337.5817186038056,1050.4897994948358,-1175.4936748461205,-2225.8839585495866,1050.4074065119248,-83.40489163302105,-1133.8048311681835,-2184.167910594405,116.1681352894343,117.18081267702054,114.0000000000026,119.65734924782764,126.0,123.0476119859421,116.41915255131961,119.77930732219633,126.0,-1061.228858729389
7,7.0,-1000.0,1430.7558747374935,-1000.0,-1000.0,3329.967628907104,-1000.0,-1000.0,-1000.0,2239.2764963554023,0.7901234567901222,0.6687343821226167,0.7901234567900018,0.7901234567900322,0.5768585216175611,0.7901234567901239,0.7901234567901239,0.7901234567901088,0.6309503061363361,-481.44047170000005,-315.4308220924934,1057.6765585,-1157.258227515104,-2214.781750363104,1057.617437944,-66.43228197740265,-1123.9987351194027,-2181.6089607814024,116.25649235842812,117.20227638979543,114.0,119.6898190104147,126.0,123.02710186556132,116.45632062223774,119.78678444408222,126.0,-1061.38488250525
8,8.0,-999.9999999983954,1422.880813893689,-999.9999999966165,-999.999999997411,3333.311859969453,-999.9999999988764,-999.9999999992461,-999.9999999983388,2243.8073261257423,0.7962962962962851,0.6599511672220383,0.7962962962961538,0.796296296296189,0.5562825224819472,0.7962962962962897,0.796296296296292,0.7962962962962714,0.6170996436293871,-416.972839966,-293.3173174170725,1064.8292596566166,-1138.9753433571655,-2203.7984286815763,1064.8173909778764,-49.46293752715749,-1114.2934034354037,-2179.0174310767425,116.34456738312913,117.22363448451608,114.0,119.7219324097197,125.99999999997856,123.00661700213563,116.4932719766961,119.79435628710256,125.99999999998012,-1061.542383719365
9,9.0,-600.0000000075225,287.7253827335494,-600.0000000247068,-600.0000000177084,2573.0456049469453,-599.9999998504255,-600.0000000039319,-600.000000008268,1739.2290122320683,0.8000000000000353,0.658175084612572,0.8000000000000101,0.800000000000002,0.5403995249205462,0.7999999999990701,0.8000000000000199,0.8000000000000261,0.606363662072399,-352.43688463600006,456.2185019251575,671.9421560467068,-1157.1050844588115,-1829.01997187252,672.0090358504256,-323.41324140086846,-995.3975890488002,-1667.3142258820683,117.4125736903153,116.04464446598175,114.00000000001498,120.81260703960032,126.0,124.11927197224618,118.37272375663376,121.2801716765708,126.0,-644.2454923624492
