,iteration,Pi1,Pi2,Pi3,Pi4,Pi5,Pi6,Pi7,Pi8,Pi9,Pi10,B1cs,B2cs,B3cs,B4cs,B5cs,B6cs,B7cs,B8cs,B9cs,B10cs,Pf01,Pf12,Pf23,Pf14,Pf45,Pf56,Pf17,Pf78,Pf89,Pf9x10,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Sell Price
0,0.0,-999.9999999962462,2031.2546737966807,-999.9999999970439,-999.9999999974266,3575.421275826433,-999.9999999950331,-999.999999994389,-999.9999999985033,1592.5566624429093,800.7673879126189,0.7469135802468905,0.7282021316432303,0.7469135802468952,0.7469135802468977,0.7186702390381084,0.7469135802468829,0.746913580246879,0.7469135802469044,0.7309101440589943,0.735797732173379,-1927.1021136728,-1016.6926722708367,1007.3358083362439,-1553.4911874086733,-2560.7945268671,1007.3088975833332,-364.191022448536,-1371.421942136725,-2378.6458389373283,-793.4094214330189,117.05184776767817,122.67887570971077,125.54597331650366,114.0,118.67368634696743,125.99999999994196,114.00008262066906,115.11278188469491,119.20968044890085,125.99999999994121,-1039.3749065211207
1,1.0,-999.9999999976626,1991.9194392507127,-999.999999994733,-999.9999999994155,3593.292853295551,-1000.0,-1000.0,-999.999999998371,1604.7693888033189,810.0183186430528,0.7530864197530489,0.7159063326355098,0.7530864197530356,0.753086419753067,0.6964894189560372,0.7530864197530558,0.7530864197530519,0.7530864197530671,0.7210041601774924,0.7307976190953355,-1855.2433545545,-962.9627387337795,1014.483205146533,-1549.8784631088004,-2564.4072511732156,1014.4152684621354,-356.92087039888287,-1371.3886648424007,-2385.9082423549717,-795.5505395491527,117.07321744790582,122.4941165599099,125.2153445425399,114.00000000000907,118.66303099187306,125.99999999999793,114.00020857735808,115.09079965384392,119.18835610222293,125.9999999999956,-1040.161611214047
2,2.0,-999.999999960161,1952.1367073541928,-1000.0,-999.9999999867972,3611.493082699527,-999.9999999637137,-999.999999912322,-999.9999999753895,1617.9726046740495,818.3976050733212,0.7592592592589759,0.7038561060469037,0.7592592592592085,0.7592592592591584,0.6741962517788797,0.7592592592590046,0.7592592592586835,0.759259259259088,0.711016674963455,0.7257457820269816,-1783.0702843754,-908.6976866252852,1021.7537677483077,-1546.2712500730163,-2568.0133077422133,1021.7549241019136,-349.7388917159593,-1371.4455348656813,-2393.1012875904707,-796.7690990907212,117.0949548311079,122.30853464072754,124.88180822921487,114.00000355033059,118.65239434806305,125.99999999979985,114.00000000013763,115.06874998988141,119.16723164795924,125.99999999981085,-1040.957265835766
3,3.0,-1000.0,1912.450790347721,-1000.0,-1000.0,3629.3130192913136,-999.8703201317563,-999.9999999590106,-1000.0,1628.720687500384,829.3858230549898,0.7654320987651488,0.6920508542546339,0.7654320987653813,0.7654320987653312,0.6517930849931307,0.7654312982721636,0.7654320987646034,0.7654320987652609,0.7009628435591316,0.720626116452568,-1711.1254189082001,-854.7393279893057,1028.8212516585154,-1542.7003844242383,-2571.5853296599576,1028.8212517523564,-342.58448450208095,-1371.4023728427915,-2400.298856954974,-800.4954822822898,117.11607437197326,122.12273608766432,124.54830468187765,114.00000000061671,118.64185715521137,125.99999999999822,114.00000000032861,115.04698665860997,119.14609015916693,126.0,-1041.749687392507
4,4.0,-1000.0,1873.058631587927,-1000.0,-1000.0,3647.221711694213,-999.906057786711,-1000.0,-1000.0,1641.0650031516655,838.5607113529057,0.7716049382713217,0.68048876393619,0.7716049382715542,0.7716049382715041,0.6292793707234133,0.771603557888131,0.7716049382707763,0.7716049382714337,0.6908328126754795,0.7154498157652045,-1639.3373242970001,-800.9239618819267,1036.013744503,-1539.1346790605023,-2575.150962649502,1036.013817078711,-335.33911919457114,-1371.4625653005714,-2407.484029790571,-802.4525353699057,117.13756729570188,121.93746675637881,124.21510605510241,114.00000022282012,118.63133787556032,126.0,114.0,115.02494244048201,119.12498133954355,126.0,-1042.5378879461086
5,5.0,-999.9999999801546,1833.6118118393374,-999.9999999715142,-999.9999999890382,3665.279279692904,-999.9999999895397,-999.9999999916774,-999.9999999885704,1652.76292434295,848.3459840353029,0.7777777777773719,0.6691701725050828,0.7777777777775513,0.7777777777776093,0.6066541899845682,0.7777763973942391,0.7777777777768976,0.7777777777775361,0.6806305724017576,0.7102131121600482,-1567.686872237,-747.1309257718235,1043.2733854675141,-1535.544718164326,-2578.7409960803643,1043.2568536405397,-328.2183897070049,-1371.4219303316825,-2414.6288623632527,-805.0805761243029,117.15925644108547,121.75250379517429,123.88165250929697,114.00000000000337,118.62074566750876,125.9999999998891,114.00005075560121,115.00332362620897,119.10398732329129,125.99999999984527,-1043.3277637501426
6,6.0,-999.9999999744093,1794.1318746306126,-999.9999999772509,-999.9999999863295,3683.292256117337,-999.9999999772225,-999.9999999709627,-999.9999999855165,1663.9664289324637,858.6094401912784,0.7839506172833868,0.658095284390079,0.7839506172835836,0.7839506172836976,0.5839178180332267,0.7839492369002713,0.7839506172828912,0.7839506172836195,0.6703591746922979,0.7049130538872626,-1495.75791011,-693.3125601343619,1050.4476535522508,-1531.9379898597847,-2582.3477243751145,1050.4387893232224,-321.0172303802627,-1371.4500626362253,-2421.809556960742,-808.2342639552784,117.18068679388982,121.56621197752567,123.54619656897074,114.00000000000495,118.61010324969361,125.99999999986332,114.00002721473994,114.98138225916243,119.08288420286515,125.99999999978377,-1044.1173624910873
7,7.0,-999.9999999958376,1754.5043852713632,-1000.0,-999.9999999936631,3701.194715829108,-1000.0,-999.9999999893406,-999.9999999970471,1676.9648174356462,867.3360814452182,0.7901234567895339,0.6472650104069224,0.7901234567897565,0.7901234567898313,0.5610709370713186,0.7901220764064442,0.7901234567889982,0.790123456789774,0.6600075400167692,0.6995591274585884,-1423.888550207,-639.3131297708672,1057.642969287496,-1528.352394070494,-2585.933320214157,1057.5795162939514,-313.77791069347654,-1371.4168856808174,-2429.027464868864,-809.6974712292182,117.2021760826157,121.37986679695011,123.20954205939148,114.0,118.59952224123228,125.99999999999389,114.00019481165235,114.95951006584936,119.0616679479869,125.99999999986069,-1044.9099122879666
8,8.0,-1000.0,1715.1237991098242,-999.9999999974407,-1000.0,3719.1306474166863,-1000.0,-1000.0,-1000.0,1688.9758310245065,876.7697224686323,0.7962962962957069,0.6366778264618,0.7962962962959135,0.7962962962960042,0.5381133404823267,0.7962949159126171,0.7962962962951711,0.7962962962959469,0.64958176328205,0.6941469686779178,-1352.2526368909998,-585.6095908053835,1064.7618510194407,-1524.7047507866657,-2589.5488075833523,1064.7940069543342,-306.6697700555029,-1371.408608039546,-2436.207336201139,-812.0276900256323,117.22352922882841,121.19378140270106,122.87334684238668,114.00009872429226,118.58885206754911,126.0,114.0,114.93767371507398,119.04055974608188,126.0,-1045.697524017479
9,9.0,-600.0000000949008,275.69198321125293,-600.0000000615227,-600.0000000473266,3137.1321815330766,-600.0734314502207,-600.0000001815043,-600.0000000562426,1433.8763997726746,753.3728673747138,0.7999999999999964,0.6349760240962985,0.799999999999997,0.8,0.5187483270160732,0.7999990728968777,0.7999999999999952,0.7999999999999978,0.6407306743945643,0.6894965188793084,-1280.526275657,468.22508241726973,672.0069872235226,-1721.1545131135294,-2393.122920154856,672.0152684282207,-699.4685565716411,-1371.4230255041455,-2043.3941323503882,-681.4588919337137,116.04486497818174,119.8448124900048,118.469496170706,114.0000254243304,119.16716811244477,125.99999999999,114.0,116.12763663131506,120.18995010909133,125.99999999999221,-634.4868947072848
